	CU-1-[12]	CU-2-3	CU-2-4	CU-2-5	CU-3-3	CU-3-[678]
Retail Sales\Consumer Goods, Furniture, Appliances, Equipment	N(1)	P	P	P	P(2)(12)	P
Retail Sales\Pets & Pet Supplies	-(1)	P	P	P	P(2)(12)	P
Retail Sales\Sundries, Pharmaceutical, & Convenience Sales	N(1)	P	P	P	P(2)(12)	P
Retail Sales\Wearing Apparel & Accessories	P(1)	P	P	P	P(2)(12)	P
Separately Regulated Retail Sales Uses\Agriculture Related Supplies & Equipment	-(1)	P	P	P	-(2)(12)	-
Separately Regulated Retail Sales Uses\Alcoholic Beverage Outlets	-(1)	C	C	C	C(2)(12)	C
Separately Regulated Retail Sales Uses\Cannabis Outlets	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Retail Sales Uses\Farmers’ Markets: Weekly Farmers’ Market	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Retail Sales Uses\Farmers’ Markets: Daily Farmers’ Market Stands	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Retail Sales Uses\Plant Nurseries	-(1)	P	P	P	P(2)(12)	P
Separately Regulated Retail Sales Uses\Retail Farms	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Retail Sales Uses\Retail Tasting Stores	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Retail Sales Uses\Swap Meets & Other Large Outdoor Retail Facilities	-(1)	C	C	C	-(2)(12)	-
Commercial Services\Building Services	-(1)	P	P	P	P(2)(12)	P
Commercial Services\Business Support	P(1)	P	P	P	P(2)(12)	P
Commercial Services\Eating & Drinking Establishments	P(5)(1)	P	P	P	P(12)(2)(12)	P(12)
Commercial Services\Financial Institutions	P(1)	P	P	P	P(2)(12)	P
Commercial Services\Funeral & Mortuary Services	-(1)	P	P	P	P(2)(12)	P
Commercial Services\Instructional Studios	N(1)	P	P	P	P(2)(12)	P
Commercial Services\Maintenance & Repair	P(1)	P	P	P	P(2)(12)	P
Commercial Services\Off-site Services	-(1)	P	P	P	P(2)(12)	P
Commercial Services\Personal Services	N(1)	P	P	P	P(2)(12)	P
Commercial Services\Radio & Television Studios	-(1)	P	P	P	P(2)(12)	P
Commercial Services\Tasting Rooms	-(1)	-	-	-	-(2)(12)	-
Commercial Services\Visitor Accommodations	-(1)	-	P	P	P(2)(12)	P
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Adult Book Store	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Adult Cabaret	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Adult Drive-In Theater	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Adult Mini-Motion Picture Theater	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Adult Motel	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Adult Motion Picture Theater	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Adult Peep Show Theater	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Adult Theater	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Body Painting Studio	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Massage Establishment	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Sexual Encounter Establishment	-(1)	L	L	L	-(2)(12)	-
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Establishment	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Assembly & Entertainment Uses, Including Places of Religious Assembly	C(1)	L	L	L	L(2)(12)	L
Separately Regulated Commercial Services Uses\Bed & Breakfast  Establishments: 1-2 Guest Rooms	N(1)	P	P	P	P(2)(12)	P
Separately Regulated Commercial Services Uses\Bed & Breakfast  Establishments: 3-5 Guest Rooms	N(1)	P	P	P	P(2)(12)	P
Separately Regulated Commercial Services Uses\Bed & Breakfast  Establishments: 6+ Guest Rooms	N(1)	P	P	P	P(2)(12)	P
Separately Regulated Commercial Services Uses\Boarding Kennels/ Pet Day Care Facilities	-(1)	-	L	L	L(2)(12)	L
